
filename,sgpa,cgpa 
20011914049_1800265433.html,R , 
21023614012_1800265728.html,7.2 , 
20012014003_1800265726.html,R , 
21012814054_1800265431.html,R , 
22011614055_1800265430.html,7.55 , 
21013414058_1800265725.html,7.3333333333 , 
21011614026_1800265370.html,8.66 , 
20012614038_1800265846.html,7.75 , 
20012114034_1800265728.html,R , 
22012414002_1800265842.html,8.08 , 
20013014019_1800265843.html,4.64 , 
22011914007_1800265430.html,R , 
22013414031_1800265735.html,7.8620689655 , 
21013014023_1800265432.html,R , 
21012514022_1800265841.html,6.83 , 
21012414030_1800265432.html,R , 
21012914034_1800265369.html,4.37 , 
21012614047_1800265726.html,R , 
20013614001_1800265372.html,2.57 , 
20012214009_1800265371.html,4.75 , 
21012114111_1800265431.html,R , 
20012514022_1800265372.html,2.14 , 
22012114031_1800265735.html,R , 
21012614005_1800265431.html,R , 
21012914044_1800265432.html,7.25 , 
21011814011_1800265726.html,7.2142857143 , 
21012314007_1800265726.html,9.2857142857 , 
21012214005_1800265432.html,7.75 , 
21013014028_1800265842.html,7.08 , 
20012714028_1800265434.html,R , 
20012114014_1800265728.html,R , 
20012114071_1800265728.html,8 , 
21013514006_1800265370.html,4.38 , 
21013414047_1800265726.html,8.3571428571 , 
22013114073_1800265841.html,5.28 , 
21013414058_1800265726.html,R , 
20013014008_1800265846.html,3.08 , 
20013314046_1800265728.html,7.2 , 
22013214011_1800265734.html,R , 
20012414016_1800265846.html,6.92 , 
23013514024_1800265840.html,4.67 , 
20013114106_1800265433.html,R , 
20011914018_1800265372.html,3.86 , 
21011814003_1800265726.html,7.7142857143 , 
20013514031_1800265434.html,R , 
20012214045_1800265727.html,R , 
22013214079_1800265430.html,R , 
23013614041_1800265840.html,3.76 , 
20013414002_1800265845.html,7.07 , 
21011914019_1800265369.html,6.97 , 
23012714061_1800265840.html,5.50 , 
20012114040_1800265846.html,7.83 , 
20012014055_1800265372.html,7.79 , 
22013614038_1800265430.html,7.79 , 
20013514004_1800265727.html,R , 
20011814014_1800265846.html,8.67 , 
20012514027_1800265728.html,8.2 , 
22012414051_1800265430.html,R , 
21012714049_1800265843.html,7.36 , 
21013614009_1800265726.html,8 , 
21012514066_1800265430.html,6.63 , 
22011614031_1800265430.html,7.21 , 
20012314020_1800265434.html,7.08 , 
21012914032_1800265726.html,R , 
23012114040_1800265840.html,8.03 , 
22012114046_1800265735.html,R , 
20012214002_1800265726.html,6.4285714286 , 
23012914066_1800265840.html,5.43 , 
21013414010_1800265844.html,2.08 , 
22021614004_1800265726.html,8.2857142857 , 
22012514039_1800265735.html,7.8965517241 , 
22013314057_1800265842.html,5.00 , 
22013014026_1800265841.html,4.90 , 
20012714043_1800265726.html,R , 
22013114053_1800265735.html,R , 
21013114096_1800265843.html,7.36 , 
21023514003_1800265845.html,3.13 , 
20012614036_1800265727.html,R , 
21013214004_1800265432.html,8.50 , 
21013214013_1800265432.html,R , 
20012014020_1800265846.html,8.67 , 
21012714025_1800265431.html,R , 
23013414042_1800265840.html,8.90 , 
20012114021_1800265728.html,R , 
22013614024_1800265430.html,R , 
20012514006_1800265371.html,5.67 , 
21013114043_1800265370.html,4.17 , 
20012214009_1800265727.html,R , 
21012414008_1800265726.html,R , 
21011914053_1800265726.html,8.1428571429 , 
21012414036_1800265432.html,7.42 , 
21011814049_1800265431.html,7.41 , 
21012014004_1800265726.html,R , 
21013114059_1800265432.html,7.50 , 
22011914022_1800265430.html,8.23 , 
21012114019_1800265844.html,8.08 , 
22011914035_1800265735.html,7.62 , 
20011814057_1800265846.html,8.42 , 
21021914001_1800265728.html,7.7333333333 , 
20012314061_1800265372.html,7.21 , 
22012114046_1800265734.html,6.93 , 
20013114101_1800265372.html,7.14 , 
20013114009_1800265727.html,7.3076923077 , 
21011614016_1800265726.html,8.1428571429 , 
20011814015_1800265846.html,8.00 , 
22015214020_1800265735.html,9.0344827586 , 
21012514032_1800265734.html,6.66 , 
22012614053_1800265734.html,6.79 , 
21012514050_1800265432.html,7.75 , 
23011814064_1800265840.html,7.28 , 
21013314009_1800265844.html,7.85 , 
21012614062_1800265370.html,6.97 , 
23023314005_1800265842.html,7.00 , 
20013514005_1800265843.html,6.57 , 
20012314058_1800265434.html,8.31 , 
20012714018_1800265846.html,8.50 , 
21012214005_1800265844.html,7.69 , 
21011914054_1800265370.html,7.62 , 
21012014056_1800265735.html,7.4137931034 , 
22011614038_1800265430.html,7.83 , 
21013114093_1800265844.html,8.08 , 
21013214051_1800265431.html,7.24 , 
20012314050_1800265372.html,8.50 , 
20013114012_1800265728.html,7.2 , 
