file_name,cgpa,scgpa
btech/found/21011403012_1800266010.html,6.31,6.07692307692308
btech/found/21010203044_1800265758.html,"Result MA-202,",5.85
btech/found/21021001016_1800265500.html,4.80,4.88
btech/found/21010505036_1800265549.html,6.5208333333,6.2916666667
btech/found/21010505039_1800265901.html,4.03,3.46
btech/found/20010203044_1800265590.html,"Result EC-402,",6.60
btech/found/22010103047_1800265783.html,4.46,4.54
btech/found/22010505069_1800265901.html,4.92,5.38
btech/found/20010401054_1800265934.html,8.03,8.39
btech/found/20010104048_1800265518.html,7.56,7.08
btech/found/20010905004_1800265551.html,6.32,4.62
btech/found/20010104033_1800265600.html,7.37,6.46
btech/found/21010501050_1800265813.html,3.30,1.33
btech/found/21010107015_1800265914.html,1.63,1.63
btech/found/20010204002_1800265270.html,5.72,3.71
btech/found/20010901008_1800265930.html,7.29,6.58
btech/found/21011003015_1800265299.html,Result PASS,7.75
btech/found/22010203009_1800265757.html,"Result MA-101,",5.38
btech/found/21010104052_1800265292.html,"Result CH-101 ,EE-101 ,ME-103,",3.75
btech/found/21010305056_1800265773.html,7.15,6.88
btech/found/20010104039_1800265988.html,7.43,7.61
btech/found/20010301036_1800265469.html,6.69,5.38
btech/found/21011003020_1800266011.html,7.00819672131148,7.75
btech/found/21021303010_1800265762.html,"Result CS-601 ,CS-602 ,CS-603  , CS-604 ,CS-605  ,CS-606 ,IT-603(EL) ,",3.71
btech/found/22010301014_1800265812.html,3.98,2.96
btech/found/21010104055_1800265816.html,6.45,6.21
btech/found/20010505016_1800265219.html,6.84,6.58
btech/found/22020301001_1800265813.html,5.26,2.92
btech/found/21021001015_1800265499.html,3.08,3.08
btech/found/21010501027_1800265931.html,5.19,4.17
btech/found/20010205030_1800265905.html,6.36,7.45
btech/found/21010101027_1800265291.html,"Result EE-101 ,",6.35
btech/found/20011203015_1800265591.html,Result PASS,8.63
btech/found/20010301009_1800265500.html,7.73,7.29
btech/found/20010401027_1800265934.html,7.29,8.26
btech/found/21010304049_1800265597.html,4.65,4.71
btech/found/22010203026_1800265758.html,"Result MA-202,",5.90
btech/found/20011103009_1800266008.html,6.77027027027027,5.65384615384615
btech/found/21010104017_1800265517.html,4.69,3.35
btech/found/22010203018_1800266009.html,5.56756756756757,6.19230769230769
btech/found/22011305009_1800265900.html,6.92,7.46
btech/found/20011203023_1800265284.html,"Result MA-401 ,CS-404 ,",7.11
btech/found/20010104062_1800265599.html,6.32,4.04
btech/found/21010107006_1800265595.html,2.36,2.39
btech/found/21020501001_1800265267.html,Result PASS,7.20
btech/found/22010203052_1800266007.html,7.29,7.08
btech/found/22010101011_1800265928.html,4.21,4.21
btech/found/23010104020_1800265989.html,3.74,3.74
btech/found/21010901018_1800265468.html,"Result HS-305, CE-301 , CE-303 ,",5.00
btech/found/20011303004_1800266012.html,5.75167785234899,4.37037037037037
btech/found/20010401034_1800265267.html,Result PASS,8.08
btech/found/22010305029_1800265771.html,5.65,5.42
btech/found/22010603053_1800265758.html,"Result MA-202, CH-101 ,EE-101 ,ME-103,HS-103 ,",2.77
btech/found/21020107010_1800265922.html,7.15,7.29
btech/found/21020204009_1800265817.html,6.14,5.58
